"","Customer_Age","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Exited","male","id"
"24",32,2,"Post-Graduate","Married","$40K - $60K","Blue",24,5,3,1,1553,1177,0.638,4549,68,0.659,0.758,0,0,5002
"25",57,0,"Uneducated","Married","$40K - $60K","Blue",45,6,2,2,2601,0,0.814,1232,32,0.684,0,0,1,273
"26",51,3,"Post-Graduate","Divorced","Unknown","Platinum",34,3,1,2,34516,1578,0.725,1929,40,0.481,0.046,0,0,651
"27",30,1,"Graduate","Married","$80K - $120K","Blue",19,5,3,2,9959,2377,1.1,1560,39,0.696,0.239,0,1,940
"28",53,2,"Graduate","Married","$40K - $60K","Blue",45,2,2,2,4621,913,0.917,4952,82,0.745,0.198,0,0,7979
"29",26,0,"Uneducated","Unknown","Unknown","Silver",13,1,2,3,34516,2403,0.623,4174,59,0.735,0.07,0,0,8412
"30",63,1,"High School","Married","Unknown","Blue",50,6,1,3,12766,0,0.668,1191,28,0.647,0,0,0,1367
"31",52,1,"Uneducated","Married","Unknown","Blue",40,2,2,1,1438.3,1228,0.659,4991,78,0.902,0.854,0,0,7735
"32",40,2,"Uneducated","Divorced","$60K - $80K","Blue",29,5,3,0,23603,0,0.795,1382,31,1.067,0,0,1,272
"33",47,2,"Graduate","Married","$40K - $60K","Blue",30,4,3,2,1889,0,0.874,2479,46,0.533,0,1,1,6658
"34",41,4,"Graduate","Single","$60K - $80K","Blue",34,5,2,4,5045,2080,0.738,2042,40,0.481,0.412,1,1,5372
"35",33,2,"Uneducated","Married","Less than $40K","Blue",22,4,2,4,1544,0,0.677,1731,40,0.739,0,0,0,1762
"36",42,4,"Uneducated","Single","Less than $40K","Blue",36,6,2,1,1734,0,0.593,4092,76,1.054,0,0,0,5101
"37",39,2,"Graduate","Single","$40K - $60K","Blue",36,5,1,1,11314,0,0.674,3761,70,0.628,0,0,0,4794
"38",53,4,"Graduate","Married","$120K +","Blue",38,5,2,3,34516,0,0.854,8417,72,0.714,0,1,1,9860
"39",52,2,"Uneducated","Divorced","$40K - $60K","Blue",46,5,1,1,1438.3,0,0.706,3763,74,0.85,0,0,1,6461
"40",49,3,"Doctorate","Single","$40K - $60K","Blue",37,5,2,3,4354,0,0.738,2750,59,0.686,0,1,1,6936
"41",58,0,"Doctorate","Single","Less than $40K","Blue",46,6,4,3,1438.3,0,0.808,4082,82,0.822,0,0,1,6186
"42",52,2,"High School","Single","Less than $40K","Blue",47,5,2,3,7030,994,0.725,3211,69,0.725,0.141,0,0,3474
"43",44,1,"Uneducated","Married","$60K - $80K","Blue",36,5,2,3,14450,2440,1.283,1235,30,0.667,0.169,0,1,108
"44",35,2,"Uneducated","Married","Less than $40K","Blue",21,6,2,3,5825,1815,1.132,2820,62,0.879,0.312,0,0,1809
"45",49,4,"Post-Graduate","Single","$80K - $120K","Blue",42,3,2,1,30885,2018,0.904,17350,115,0.62,0.065,0,1,9713
"46",52,1,"Graduate","Single","Less than $40K","Blue",44,6,3,1,2484,1495,0.922,4084,86,0.536,0.602,0,0,7210
"47",26,0,"Unknown","Married","$120K +","Blue",17,4,2,1,30928,2005,0.52,3863,72,0.756,0.065,0,1,5093
"48",58,4,"High School","Married","$60K - $80K","Blue",53,1,3,0,13784,698,0.75,13120,91,0.784,0.051,0,1,9610
"49",42,4,"Graduate","Married","$40K - $60K","Blue",36,6,2,2,4008,1636,0.637,1395,43,0.955,0.408,0,0,1366
"50",46,2,"Unknown","Unknown","$120K +","Blue",37,3,2,4,3132,1466,0.689,3612,59,0.595,0.468,0,1,3084
"51",55,3,"College","Single","$120K +","Blue",44,2,2,3,6455,1837,0.717,8001,99,0.707,0.285,0,1,8862
"52",42,4,"College","Single","Unknown","Blue",34,5,3,2,15449,0,0.783,4098,81,0.588,0,0,0,3725
"53",53,3,"Uneducated","Single","Less than $40K","Blue",48,5,3,1,4908,1429,0.745,3535,65,0.667,0.291,0,0,3505
"54",38,2,"Graduate","Single","Unknown","Blue",24,3,2,3,2214,570,0.688,2066,45,0.25,0.257,1,0,3694
"55",55,3,"Graduate","Unknown","Unknown","Blue",36,4,3,3,7869,1251,0.722,4314,83,0.729,0.159,0,0,5059
"56",54,2,"College","Single","Less than $40K","Blue",36,1,3,3,2274,708,0.677,7735,74,0.682,0.311,0,0,8776
"57",44,1,"Unknown","Married","$60K - $80K","Blue",33,6,2,3,4969,1187,0.714,3878,82,0.783,0.239,0,1,5111
"58",44,1,"Unknown","Unknown","$80K - $120K","Blue",29,6,1,2,8315,1008,0.718,4088,66,0.61,0.121,0,1,6407
"59",58,2,"Uneducated","Single","$120K +","Blue",46,2,3,4,16163,0,0.542,2171,48,0.778,0,1,1,2078
"60",61,0,"Uneducated","Married","$80K - $120K","Blue",48,2,1,0,5362,1274,1.015,1876,41,0.783,0.238,0,1,286
"61",50,1,"High School","Married","$80K - $120K","Blue",39,3,3,2,5384,1396,0.756,4338,75,0.829,0.259,0,1,7839
"62",42,3,"High School","Married","$80K - $120K","Blue",36,1,3,2,22993,0,1.004,7867,75,0.786,0,1,1,9347
"63",40,2,"Uneducated","Married","Less than $40K","Blue",28,3,2,2,1794,1019,0.692,4455,63,0.658,0.568,0,0,4244
"64",47,2,"Doctorate","Divorced","$80K - $120K","Blue",32,1,3,3,1438.3,0,0.454,2388,42,0.5,0,1,1,7134
"65",44,4,"High School","Single","Less than $40K","Blue",36,1,3,3,3024,0,0.75,4983,78,0.733,0,0,0,7968
"66",53,1,"Graduate","Single","Less than $40K","Blue",46,3,6,4,2240,1601,0.833,3795,70,0.75,0.715,0,0,1337
"67",47,4,"Post-Graduate","Divorced","$40K - $60K","Blue",40,2,2,3,2725,1851,0.687,4904,85,0.7,0.679,0,0,8314
"68",56,1,"College","Divorced","$80K - $120K","Blue",36,3,3,3,34516,1477,1.234,2395,50,0.724,0.043,0,1,1286
"69",36,3,"High School","Married","$80K - $120K","Blue",27,3,1,2,7056,0,0.815,1739,35,0.842,0,0,1,1512
"70",49,1,"Graduate","Married","$40K - $60K","Blue",36,4,2,3,4158,1889,0.872,15842,130,0.831,0.454,0,1,10061
"71",53,2,"Doctorate","Single","Unknown","Blue",49,3,2,2,4500,0,0.761,4579,78,0.814,0,0,0,5290
"72",46,2,"Post-Graduate","Married","Less than $40K","Blue",41,3,1,3,2552,1879,0.888,4153,79,0.795,0.736,0,0,7642
"73",50,3,"Unknown","Married","Less than $40K","Blue",34,6,1,3,7623,2517,1.007,1367,29,1.071,0.33,0,0,850
"74",51,2,"High School","Married","Less than $40K","Silver",36,5,3,0,11261,2485,0.736,1158,26,0.857,0.221,0,0,634
"75",55,1,"Unknown","Married","Less than $40K","Blue",50,5,3,4,3566,1401,0.903,2425,54,0.8,0.393,0,0,1392
"76",55,1,"Unknown","Single","Less than $40K","Blue",36,5,2,3,1836,572,0.758,2400,34,0.789,0.312,1,0,5802
"77",36,3,"Graduate","Married","$120K +","Blue",29,5,2,4,12852,1945,0.659,1606,33,0.941,0.151,0,1,2321
"78",61,1,"Graduate","Unknown","$60K - $80K","Blue",49,6,2,2,16929,1838,0.551,4799,79,0.519,0.109,0,1,6573
"79",59,1,"Uneducated","Single","Less than $40K","Blue",53,5,5,4,2192,1569,0.706,4010,79,0.717,0.716,0,1,2923
"80",38,3,"High School","Single","Less than $40K","Blue",26,3,3,3,1939,1484,0.576,4790,77,0.75,0.765,0,0,6517
"81",57,2,"Uneducated","Single","$80K - $120K","Blue",51,6,2,4,30622,0,1.329,3600,66,0.784,0,0,1,2593
"82",35,3,"Doctorate","Single","Unknown","Blue",24,1,1,3,12287,770,0.612,4601,65,0.757,0.063,0,0,8437
"83",43,3,"Graduate","Married","$60K - $80K","Blue",36,4,2,3,17239,0,0.393,1789,38,0.357,0,1,1,6326
"84",31,0,"Uneducated","Married","$40K - $60K","Blue",22,3,3,0,4048,1113,0.717,1757,45,0.607,0.275,0,1,603
"85",45,4,"Doctorate","Married","$80K - $120K","Blue",39,2,3,2,1438.3,1162,0.539,4598,86,0.623,0.808,0,1,8271
"86",45,2,"Post-Graduate","Married","Less than $40K","Blue",38,3,2,3,2911,1471,0.871,4450,62,0.771,0.505,0,0,7495
"87",46,2,"High School","Single","$40K - $60K","Blue",41,3,3,2,3150,1543,0.998,3432,71,0.972,0.49,0,1,2419
"88",45,3,"College","Divorced","$40K - $60K","Blue",37,1,3,2,2449,0,0.706,5497,88,0.63,0,0,1,7932
"89",48,5,"College","Divorced","$40K - $60K","Blue",40,3,1,1,4365,0,0.598,3542,57,1.111,0,0,0,2606
"90",60,0,"Uneducated","Married","Less than $40K","Blue",49,4,2,4,2094,1560,0.537,1969,41,0.367,0.745,0,1,1300
"91",30,1,"Uneducated","Single","Unknown","Blue",24,3,5,4,7536,1272,0.683,4189,86,0.911,0.169,0,0,4601
"92",42,4,"High School","Unknown","$60K - $80K","Blue",36,4,3,4,1871,0,0.73,2593,48,0.548,0,1,1,5883
"93",35,2,"Graduate","Single","Unknown","Blue",25,4,1,4,10329,514,0.708,2461,68,0.838,0.05,0,0,1537
"94",40,4,"Post-Graduate","Married","Less than $40K","Blue",36,4,1,3,2316,1510,0.554,3471,63,0.75,0.652,0,0,4353
"95",58,2,"Graduate","Married","$40K - $60K","Blue",48,2,3,3,4085,2238,0.568,596,15,0.5,0.548,1,1,753
"96",55,0,"High School","Married","$120K +","Blue",49,5,3,3,3805,2233,1.095,1743,27,0.929,0.587,0,1,399
"97",44,2,"Doctorate","Single","$40K - $60K","Blue",25,4,3,2,4210,0,1.224,4248,65,0.857,0,0,0,2951
"98",57,3,"Post-Graduate","Married","$60K - $80K","Blue",36,6,1,4,3478,2517,0.685,1409,49,0.75,0.724,0,1,1751
"99",35,2,"Unknown","Married","$80K - $120K","Blue",36,6,2,2,2263,1188,0.84,1927,47,0.382,0.525,0,1,1984
"100",58,3,"Unknown","Married","Less than $40K","Blue",48,2,1,2,3603,1465,0.63,14235,101,0.656,0.407,0,0,9510
"101",39,1,"Uneducated","Married","Less than $40K","Blue",36,3,3,3,4247,0,0.405,847,17,0.133,0,1,1,2175
"102",32,0,"Uneducated","Single","$60K - $80K","Blue",14,4,3,3,8186,0,0.737,2411,67,0.426,0,0,1,2649
"103",37,2,"High School","Married","Unknown","Blue",27,2,1,2,5245,1044,0.673,4938,70,0.892,0.199,0,0,8021
"104",49,3,"College","Married","Less than $40K","Blue",41,3,3,3,1603,749,0.733,2644,43,0.483,0.467,1,0,4446
"105",44,5,"Graduate","Unknown","Less than $40K","Blue",39,6,3,2,1545,0,0.749,2646,39,0.444,0,1,0,7410
"106",47,2,"Graduate","Married","Less than $40K","Blue",34,2,2,2,2234,2024,0.717,2313,37,0.321,0.906,1,0,7894
"107",36,4,"Uneducated","Married","Less than $40K","Blue",36,5,3,0,4228,1886,1.076,4356,74,0.682,0.446,0,0,5761
"108",62,1,"Unknown","Single","Unknown","Blue",36,5,1,1,18457,2248,0.578,3603,69,0.643,0.122,0,1,7497
"109",33,4,"College","Divorced","Less than $40K","Blue",24,6,2,2,9857,0,0.699,3448,103,0.635,0,0,0,2496
"110",40,3,"Graduate","Single","Less than $40K","Blue",31,4,2,3,2016,978,0.736,4379,78,0.95,0.485,0,0,5380
"111",48,3,"Graduate","Divorced","$60K - $80K","Blue",34,6,3,2,11062,0,0.761,4084,72,0.8,0,0,1,6249
"112",56,3,"College","Single","Less than $40K","Blue",46,1,3,3,2272,1350,0.762,2354,49,0.96,0.594,1,0,7485
"113",41,2,"High School","Single","$80K - $120K","Blue",28,4,3,0,27756,1789,0.75,994,24,0.846,0.064,0,1,226
"114",44,2,"College","Married","$80K - $120K","Blue",37,5,3,1,8241,0,0.723,4436,79,0.756,0,0,1,6127
"115",39,2,"Uneducated","Single","$40K - $60K","Blue",19,4,3,3,6628,1735,0.587,4050,89,0.935,0.262,0,1,3738
"116",29,1,"Uneducated","Single","$40K - $60K","Blue",22,2,3,3,11522,1203,0.847,13720,119,0.831,0.104,0,1,9414
"117",51,2,"Unknown","Unknown","$80K - $120K","Blue",39,6,1,3,9854,1886,0.921,3912,76,0.949,0.191,0,1,3081
"118",58,3,"Graduate","Married","$40K - $60K","Blue",46,5,3,1,4669,1913,0.591,4363,73,0.973,0.41,0,0,5828
"119",47,3,"High School","Married","$60K - $80K","Blue",41,2,3,3,4207,1556,0.658,15312,122,0.718,0.37,0,1,9676
"120",47,4,"High School","Married","Less than $40K","Blue",40,4,2,2,4490,1989,0.604,4346,70,0.795,0.443,0,0,6248
"121",51,2,"Graduate","Married","$40K - $60K","Blue",45,3,2,4,5930,0,1.19,2041,32,0.684,0,0,0,1681
"122",57,1,"Post-Graduate","Unknown","$80K - $120K","Blue",36,4,3,3,23714,0,0.981,8463,62,0.824,0,1,1,9598
"123",56,3,"Uneducated","Married","Unknown","Blue",47,4,1,2,1822,1118,0.896,4576,78,0.529,0.614,0,0,6643
"124",56,1,"College","Married","Unknown","Blue",36,6,2,2,4263,0,0.64,4876,70,1.188,0,0,0,7159
"125",65,0,"Uneducated","Single","Less than $40K","Blue",56,6,1,2,8705,1453,1.11,2688,88,0.956,0.167,0,0,2170
"126",45,4,"Graduate","Single","Less than $40K","Blue",40,3,2,1,2110,844,1.109,4812,77,0.604,0.4,0,0,4235
"127",44,4,"Graduate","Married","Less than $40K","Blue",31,3,3,4,2184,0,0.671,1973,42,0.556,0,1,0,4271
"128",53,2,"College","Married","$80K - $120K","Blue",45,4,4,4,21953,1311,0.443,1413,37,0.37,0.06,0,1,2008
"129",53,2,"Uneducated","Married","$80K - $120K","Blue",36,1,3,3,4503,0,0.659,748,20,0.429,0,1,1,456
"130",27,0,"Graduate","Married","$40K - $60K","Blue",36,3,2,4,11473,829,0.707,2147,41,0.519,0.072,0,1,1514
"131",46,4,"High School","Married","Less than $40K","Blue",33,1,3,0,1896,1738,0.647,4588,75,0.923,0.917,0,0,8332
"132",43,2,"Graduate","Married","Unknown","Blue",34,6,1,4,7210,782,0.733,4249,75,0.5,0.108,0,0,3478
"133",37,4,"Graduate","Married","$60K - $80K","Blue",30,5,3,2,2578,2517,0.896,1830,64,0.524,0.976,0,1,694
"134",44,2,"Graduate","Married","Less than $40K","Blue",36,5,1,3,4473,0,0.543,4047,56,0.75,0,0,0,5209
"135",39,3,"Uneducated","Single","Unknown","Blue",25,5,3,3,4181,1604,0.659,3955,74,0.574,0.384,0,0,5755
"136",37,3,"Unknown","Married","Less than $40K","Blue",17,3,1,3,1468,1074,0.697,2050,32,0.524,0.732,1,0,4993
"137",57,3,"Graduate","Divorced","$40K - $60K","Blue",47,1,3,2,4262,2517,0.682,3943,75,0.744,0.591,0,0,8454
"138",40,4,"Graduate","Single","$80K - $120K","Silver",22,3,1,3,34516,0,0.64,1028,26,0.3,0,1,1,1312
"139",42,4,"College","Married","$40K - $60K","Blue",34,1,3,2,1695,0,0.453,2055,46,0.314,0,1,0,8037
"140",49,2,"Graduate","Unknown","Less than $40K","Blue",36,3,1,3,3252,2517,0.878,7418,90,0.579,0.774,0,0,8583
"141",44,4,"Graduate","Single","$60K - $80K","Blue",28,2,2,1,2758,461,0.58,4244,96,0.778,0.167,0,1,7980
"142",35,3,"College","Single","$60K - $80K","Blue",36,5,1,3,2780,0,0.565,2469,67,0.811,0,0,1,1531
"143",40,4,"High School","Married","$60K - $80K","Blue",36,6,3,3,5797,1779,0.785,2131,33,0.571,0.307,0,1,3689
"144",45,4,"Unknown","Married","$40K - $60K","Blue",38,4,3,3,1862,845,0.604,3520,68,0.889,0.454,0,1,3224
"145",31,1,"Unknown","Married","Less than $40K","Blue",36,3,3,3,1868,1515,1.359,2229,35,0.667,0.811,0,1,867
"146",51,4,"High School","Single","Less than $40K","Blue",36,6,3,3,2902,1634,0.588,4748,74,0.51,0.563,0,0,6174
"147",40,4,"College","Single","Less than $40K","Blue",26,6,1,2,7291,2517,0.83,2198,56,0.697,0.345,0,0,2213
"148",51,4,"Uneducated","Single","Less than $40K","Blue",37,4,4,2,1765,1487,0.738,3333,66,1,0.842,0,0,3926
"149",48,2,"Graduate","Single","$80K - $120K","Blue",36,6,3,3,11656,1677,1.524,1441,32,0.882,0.144,0,1,10
"150",47,4,"Uneducated","Single","Less than $40K","Blue",36,3,1,2,2092,1499,0.811,4130,80,1.162,0.717,0,0,5909
"151",44,3,"Doctorate","Married","Less than $40K","Blue",38,6,1,3,7222,0,0.685,920,18,0.5,0,1,0,595
"152",38,1,"Uneducated","Married","$80K - $120K","Blue",25,6,1,3,11352,0,1.324,1601,34,1.125,0,0,1,1774
"153",56,2,"Graduate","Unknown","Unknown","Blue",45,5,1,3,5264,0,0.852,4943,70,0.795,0,0,0,4805
"154",52,1,"Post-Graduate","Married","Unknown","Blue",42,5,1,2,1481,0,0.698,4435,67,0.718,0,0,0,4016
"155",44,3,"Unknown","Single","$40K - $60K","Blue",38,5,2,2,1643,0,0.6,1754,39,0.56,0,1,1,7922
"156",50,2,"High School","Single","Less than $40K","Blue",41,2,3,2,6704,0,0.856,12576,103,0.776,0,0,0,9367
"157",42,3,"Graduate","Single","Less than $40K","Blue",28,6,2,1,1438.3,0,0.46,4482,74,0.644,0,0,0,6831
"158",49,0,"High School","Single","$80K - $120K","Blue",43,6,3,1,1883,1295,0.81,5187,89,0.712,0.688,0,1,6118
"159",49,5,"Uneducated","Single","Less than $40K","Blue",39,3,2,2,1993,0,0.539,4075,76,0.689,0,0,0,2758
"160",53,3,"Graduate","Single","$60K - $80K","Blue",43,5,3,3,8404,1498,0.922,4811,56,0.556,0.178,0,1,6932
"161",38,2,"Unknown","Single","$60K - $80K","Blue",33,2,3,2,12871,0,0.598,2413,53,0.606,0,1,1,4641
"162",53,3,"Uneducated","Married","$40K - $60K","Blue",42,6,1,2,2293,1460,0.658,4436,74,0.542,0.637,0,0,5420
"163",38,3,"Unknown","Married","$80K - $120K","Blue",22,2,2,1,3224,0,0.761,3738,63,0.658,0,0,1,7725
"164",41,4,"High School","Single","$40K - $60K","Blue",30,5,3,3,4432,1335,0.714,4144,79,0.756,0.301,0,0,7115
"165",58,1,"Graduate","Married","$60K - $80K","Blue",46,3,3,2,10021,1617,0.578,1275,25,0.667,0.161,0,1,388
"166",47,3,"High School","Married","Less than $40K","Blue",36,6,2,3,6524,1993,0.815,4267,66,0.886,0.305,0,0,4905
"167",48,3,"Post-Graduate","Divorced","$60K - $80K","Blue",36,3,3,4,2648,0,0.715,3880,74,0.721,0,0,1,5485
"168",38,5,"Unknown","Married","$80K - $120K","Blue",26,5,1,2,16033,766,0.682,15260,115,0.855,0.048,0,1,9905
"169",45,4,"Unknown","Married","Less than $40K","Blue",36,6,1,4,2051,0,0.989,4355,87,0.977,0,0,0,5558
"170",48,3,"Uneducated","Single","Less than $40K","Blue",39,4,3,4,2991,1508,0.703,3734,64,0.882,0.504,0,0,3782
"171",54,2,"College","Single","$40K - $60K","Blue",49,4,3,3,8769,1314,0.477,3817,60,0.818,0.15,0,0,3558
"172",34,0,"Graduate","Married","$60K - $80K","Blue",26,4,3,3,5175,977,1.705,2405,49,0.885,0.189,0,1,1690
"173",58,0,"High School","Married","Less than $40K","Blue",36,3,3,1,2241,1670,0.704,4653,75,0.63,0.745,0,0,7124
"174",58,3,"Doctorate","Married","Less than $40K","Blue",47,1,3,3,1517,920,0.825,5067,69,0.865,0.606,0,0,8421
"175",31,0,"Graduate","Divorced","Unknown","Blue",26,3,3,3,1469,0,0.915,4331,89,0.935,0,0,0,4044
"176",51,3,"Uneducated","Unknown","Less than $40K","Blue",36,3,1,2,1750,813,0.76,4333,68,0.7,0.465,0,0,7002
"177",54,2,"Graduate","Unknown","Less than $40K","Blue",46,5,3,2,1695,913,0.449,2130,48,0.5,0.539,1,0,7075
"178",52,4,"Unknown","Married","Less than $40K","Blue",41,3,3,3,2294,1787,0.748,3904,76,0.854,0.779,0,0,5294
"179",46,4,"Graduate","Married","Unknown","Blue",38,3,2,3,16815,0,0.938,2976,65,0.512,0,0,0,3320
"180",53,3,"Graduate","Single","$120K +","Gold",43,3,1,3,34516,2435,0.77,7758,98,0.719,0.071,0,1,8587
"181",38,1,"Unknown","Married","$120K +","Blue",16,3,1,4,2106,238,0.61,2136,40,0.905,0.113,1,1,3124
"182",55,3,"Doctorate","Married","$120K +","Blue",40,4,3,1,12875,1119,0.401,1624,40,0.429,0.087,0,1,2311
"183",40,2,"Graduate","Unknown","Less than $40K","Blue",29,5,1,2,2636,1953,0.916,4584,70,0.591,0.741,0,0,5001
"184",51,1,"High School","Married","Less than $40K","Blue",43,5,1,3,1822,1114,0.539,5210,73,0.553,0.611,0,0,5806
"185",52,3,"Uneducated","Single","$80K - $120K","Blue",46,4,1,2,4555,0,1.031,3646,66,1.2,0,0,1,4120
"186",42,3,"Graduate","Married","Less than $40K","Blue",35,2,4,3,5230,2517,0.937,9495,61,0.605,0.481,1,0,9741
"187",41,5,"Uneducated","Single","$40K - $60K","Blue",26,4,3,4,2264,928,0.662,4150,83,0.844,0.41,0,0,5568
"188",62,2,"Graduate","Single","Less than $40K","Blue",48,6,3,2,5844,2013,0.478,3546,65,0.548,0.344,0,1,6891
"189",43,2,"Graduate","Married","Less than $40K","Blue",36,5,2,4,3589,1808,0.75,4262,70,0.667,0.504,0,0,4777
"190",53,2,"Graduate","Married","$80K - $120K","Blue",41,2,3,1,10301,2451,0.906,16359,111,0.657,0.238,0,1,9730
"191",41,4,"Graduate","Married","$80K - $120K","Blue",27,4,2,4,12270,0,0.543,4578,67,0.811,0,0,1,5219
"192",36,1,"Graduate","Married","Less than $40K","Blue",29,4,2,3,1493,0,0.721,2516,63,0.575,0,1,0,8203
"193",45,2,"Graduate","Married","$60K - $80K","Blue",25,3,5,3,1438.3,0,0.676,709,27,0.421,0,1,1,538
"194",44,2,"Graduate","Unknown","$80K - $120K","Blue",37,2,3,0,15821,1334,0.81,8927,103,0.635,0.084,0,1,9127
"195",42,1,"Graduate","Married","$60K - $80K","Blue",33,6,2,3,17165,1153,0.578,4063,62,0.676,0.067,0,1,3466
"196",56,2,"High School","Single","$40K - $60K","Blue",36,4,1,2,13904,625,0.673,3151,67,0.595,0.045,0,0,1526
"197",46,2,"College","Divorced","Less than $40K","Blue",31,6,1,2,1852,1428,0.795,4486,61,0.848,0.771,0,0,5772
"198",44,3,"College","Married","$40K - $60K","Blue",36,3,3,2,6111,2517,0.733,4155,68,0.659,0.412,0,1,3603
"199",56,4,"Unknown","Married","$60K - $80K","Blue",47,1,1,3,3426,1841,0.734,4268,81,0.8,0.537,0,1,8213
"200",54,1,"College","Unknown","Less than $40K","Silver",43,6,3,4,10797,1252,0.489,1739,38,0.226,0.116,1,0,4368
"201",43,4,"Unknown","Single","Less than $40K","Blue",33,3,3,1,2525,2217,0.763,4409,69,0.568,0.878,0,0,6868
"202",46,3,"Graduate","Married","Less than $40K","Blue",35,3,3,4,7578,1794,0.62,5328,78,0.625,0.237,0,0,3980
"203",46,5,"Uneducated","Unknown","$40K - $60K","Blue",40,5,4,3,6185,1960,0.669,2225,45,0.875,0.317,1,1,6012
"204",56,1,"Uneducated","Married","$40K - $60K","Blue",40,4,2,5,5366,1271,0.558,1748,38,0.9,0.237,0,0,2173
"205",50,2,"Unknown","Single","Less than $40K","Blue",36,3,2,2,2528,1689,0.514,4269,78,0.857,0.668,0,0,6078
"206",46,3,"Graduate","Single","$40K - $60K","Blue",41,5,2,4,7457,0,0.717,3162,64,0.73,0,0,0,2724
"207",53,3,"Uneducated","Married","$80K - $120K","Blue",36,3,3,1,11450,2129,0.956,2197,45,0.957,0.186,0,1,2005
"208",57,0,"Unknown","Married","Less than $40K","Blue",42,5,1,4,2376,1515,0.72,3795,71,0.614,0.638,0,0,4720
"209",46,3,"College","Married","Less than $40K","Blue",39,3,2,3,1438.3,0,0.786,4370,79,0.795,0,0,0,7035
"210",46,4,"Graduate","Single","$60K - $80K","Blue",39,6,2,3,10741,755,1.166,1278,22,1.444,0.07,0,1,356
"211",44,4,"Uneducated","Single","$80K - $120K","Blue",31,3,2,3,19719,1303,0.91,8385,97,0.565,0.066,0,1,8625
"212",48,3,"High School","Single","$40K - $60K","Blue",36,5,3,2,3871,2055,0.824,5480,58,0.933,0.531,0,0,5384
